timestamp,kwh,building,month
2024-01-01 10:00:00,12.5,buildingA,1
2024-01-01 11:00:00,10.2,buildingA,1
2024-01-02 10:00:00,14.3,buildingA,1
2024-01-03 12:00:00,9.8,buildingA,1
2024-01-05 09:00:00,11.0,buildingA,1
2024-01-01 09:00:00,20.1,buildingB,1
2024-01-02 14:00:00,18.3,buildingB,1
2024-01-03 15:00:00,22.0,buildingB,1
2024-01-04 16:00:00,19.5,buildingB,1
2024-01-06 11:00:00,17.2,buildingB,1
2024-01-02 08:00:00,8.2,buildingC,1
2024-01-02 09:00:00,7.5,buildingC,1
2024-01-03 10:00:00,9.1,buildingC,1
2024-01-03 11:00:00,10.0,buildingC,1
2024-01-07 10:00:00,6.8,buildingC,1
